cell_id,x_m,y_m,z_m,span_x_m,span_y_m,span_z_m
16515081,0.1400256097,0.1247159675,-0.05011848584,0.0001280456781,0.001252271235,0.001296676695
16515086,0.1395227313,0.1259238397,-0.05527199991,0.000986546278,0.001019716263,0.001110218465
16515116,0.09602292776,0.1374259621,-0.05932902545,0.0001148432493,0.001115992665,0.001103818417
16515118,0.09397706389,0.1374241173,-0.05933064148,0.0001151263714,0.001118063927,0.001105662435
16515124,0.09602206498,0.1385976613,-0.05818193629,0.0001104548573,0.001227527857,0.001202598214
8650840,0.1429764241,0.0256449949,0.1684185266,0.0001179128885,0.001101359725,0.001042470336
8650841,0.1429767609,0.0245226182,0.1694909245,0.0001162290573,0.00115785934,0.001105770469
8650843,0.1455899715,0.02558851466,0.1756229699,0.001022219658,0.001249426976,0.001160889864
4456624,-0.1799731731,0.03165581487,0.1555928558,0.0001341402531,0.0009026415646,0.001021131873
16515251,0.09648416489,0.1425484121,-0.05831647813,0.0008988976479,0.001276895404,0.00127690658
4456665,-0.1604269177,0.007458250131,0.171016264,0.001511260867,0.001025650185,0.0008668154478
4456673,-0.1399760574,0.007431365456,0.1683956236,0.000119715929,0.001010555774,0.00100658834
4456745,-0.1799746215,0.003619449306,0.1845498323,0.0001197606325,0.001052432228,0.000986173749
8651183,0.1374172479,0.002025808487,0.1853984386,0.0009690225124,0.0001291024964,0.001001298428
16515735,0.1384617388,0.1317375422,-0.06109628975,0.001003593206,0.00113517046,0.001037582755
16515737,0.1374216676,0.1328005195,-0.06215298176,0.001059010625,0.001170784235,0.001086320728
4457115,-0.1754250914,0.0235304717,0.2207315981,0.001017019153,0.001244032755,0.001559183002
8651523,0.139975363,0.01349896137,0.1575643241,0.0001231878996,0.001071204431,0.001040384173
16516013,0.1384644508,0.1472898126,-0.05960592479,0.001146450639,0.001066088676,0.001161202788
16516021,0.1394937535,0.1462722967,-0.05859205437,0.001002803445,0.001055896282,0.001136142761
8651720,0.1399754226,0.01354219113,0.1624180049,0.0001232177019,0.001101804897,0.001015856862
4457511,-0.166806373,0.0146329077,0.1585701466,0.001986414194,0.002057815902,0.001115009189
4457531,-0.1429747045,0.02564325593,0.1585758746,0.0001239031553,0.001114854589,0.001096725464
4457553,-0.152792719,0.01463148296,0.1660244286,0.0008399933577,0.002048032358,0.0001131296158
4457579,-0.1686225563,0.02541036941,0.1665115237,0.001070410013,0.001037957147,0.00115890801
